Value
0,459965193
0,47933415
0,517659982
0,572912422
0,639910214
0,712153133
0,783641811
0,849765155
0,907439513
0,954942116
0,991655833
1,017783509
1,03407473
1,041619742
1,04175018
1,03605344
1,026469704
1,015411712
1,005824602
1,001047627
1,004331998
1,018046422
1,04276713
1,076297186
1,1128077
1,143588793
1,160876753
1,161915053
1,149041331
1,12696835
1,100514882
1,073677787
1,049472245
1,029971952
1,016288987
1,008451426
1,005268799
1,004322598
1,002153193
0,994662564
0,977952185
0,94990967
0,911809751
0,868025583
0,823863977
0,783846071
0,751313447
0,728543378
0,716728571
0,715789637
0,724300868
0,739769204
0,75922853
0,779909803
0,799804983
0,818091116
0,835419611
0,854004855
0,877256134
0,908405351
0,948081564
0,992957296
1,037685687
1,078064708
1,112376482
1,140957457
1,165256715
1,187006939
1,207630168
1,227898262
1,247868966
1,267074976
1,284852312
1,300615397
1,313900348
1,324095296
1,329843076
1,328259799
1,314933224
1,286243094
1,242409763
1,187263343
1,125570238
1,06117037
0,99655498
0,933127029
0,871607058
0,812379955
0,755716797
0,701866658
0,651057646
0,603467115
0,559209407
0,518364953
0,481063595
0,447639435
0,41885877
0,396178371
0,382012151
0,379980038
